,lons,lats,temperature,topo,rural,urban
14336,4.51819969542316,53.61013317527556,14.685944,0.0,0.0,0.0
14337,4.495553851040188,53.619257800106666,14.662506,0.0,0.0,0.0
14338,4.497075015265074,53.63572123784842,14.654694,0.0,0.0,0.0
14339,4.516672430827589,53.59366555607904,14.693756,0.0,0.0,0.0
14340,4.468086487272075,53.59524377484209,14.639069,0.0,0.0,0.0
14341,4.490727125568879,53.58612572160252,14.670319,0.0,0.0,0.0
14342,4.489209737469633,53.56965333722954,14.678131,0.0,0.0,0.0
14343,4.37709348936978,53.64795783140434,14.498444,0.0,0.0,0.0
14344,4.328432288206936,53.64948914762235,14.428131,0.0,0.0,0.0
14345,4.35115630059044,53.6403873268399,14.467194,0.0,0.0,0.0
14346,4.349683149764567,53.62392217809063,14.475006,0.0,0.0,0.0
14347,4.2797677416437185,53.65100376603714,14.350006,0.0,0.0,0.0
14348,4.231099885331226,53.652501685838814,14.271881,0.0,0.0,0.0
14349,4.2538603135423125,53.64341461452501,14.310944,0.0,0.0,0.0
14350,4.2524191850518696,53.62694836182678,14.318756,0.0,0.0,0.0
14351,4.275156061964081,53.617860476153325,14.357819,0.0,0.0,0.0
14352,4.323771520973436,53.61634835732034,14.435944,0.0,0.0,0.0
14353,4.301052827006954,53.62544361059047,14.396881,0.0,0.0,0.0
14354,4.302509967970604,53.641909315044316,14.389069,0.0,0.0,0.0
14355,4.322308194662714,53.599878457325325,14.443756,0.0,0.0,0.0
14356,4.273708727086451,53.601390024346486,14.365631,0.0,0.0,0.0
14357,4.296422091893228,53.59230133412561,14.404694,0.0,0.0,0.0
14358,4.294968568034849,53.575826684372466,14.412506,0.0,0.0,0.0
14359,4.317658459872281,53.566737199119444,14.451569,0.0,0.0,0.0
14360,4.366205648372484,53.565211488291645,14.521881,0.0,0.0,0.0
14361,4.343533901575946,53.574308317055454,14.490631,0.0,0.0,0.0
14362,4.345003395485998,53.59078241156202,14.482819,0.0,0.0,0.0
